scorer,sub11_7m_spon,sub11_7m_spon,sub11_7m_spon,sub11_7m_spon,sub11_7m_spon,sub11_7m_spon,sub11_7m_spon,sub11_7m_spon,sub11_7m_spon,sub11_7m_spon,sub11_7m_spon,sub11_7m_spon
bodyparts,leftshoulder,leftshoulder,leftelbow,leftelbow,leftwrist,leftwrist,rightshoulder,rightshoulder,rightelbow,rightelbow,rightwrist,rightwrist
coords,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/sub11_7m_spon_AVI/img0002.png,421.3404395910134,226.72092230646172,433.49318355707027,303.376691938513,363.3811991375113,261.30950128677756,254.94132990192668,225.78609584753428,201.65622174306185,305.24634485636784,272.70303262154835,240.74331919037354
labeled-data/sub11_7m_spon_AVI/img0018.png,416.66630729637615,231.395054601099,444.7111010641998,309.9204771510051,370.85981080893094,271.59259233497954,260.55028865549144,223.91644292967936,206.33035403769912,297.7677331849482,278.31199137511305,245.41745148501082
labeled-data/sub11_7m_spon_AVI/img0030.png,413.86182791959374,225.78609584753428,440.97179522848995,305.24634485636784,378.3384224803506,275.3318981706893,267.0940738679836,222.98161647075193,211.0044863323364,299.63738610280313,278.31199137511305,242.61297210822846
labeled-data/sub11_7m_spon_AVI/img0036.png,412.9270014606663,222.0467900118245,449.38523335883707,307.11599777422276,376.46876956249565,282.81050984210896,267.0940738679836,223.91644292967936,207.26518049662656,294.0284273492384,282.9861236697503,237.00401335466375
labeled-data/sub11_7m_spon_AVI/img0056.png,418.535960214231,226.72092230646172,454.05936565347423,308.05082423315025,388.62151352855255,285.6149892188913,269.89855324476594,224.85126938860685,217.5482715448286,298.7025596438757,294.20404117687974,252.89606315643044
labeled-data/sub11_7m_spon_AVI/img0064.png,415.7314808374487,226.72092230646172,454.9941921124018,314.5946094456424,392.36081936426234,282.81050984210896,265.2244209501287,224.85126938860685,218.48309800375603,300.5722125617306,295.13886763580723,245.41745148501082
labeled-data/sub11_7m_spon_AVI/img0073.png,417.6011337553036,227.6557487653892,459.66832440703905,309.9204771510051,387.68668706962507,278.1363775474717,273.6378590804758,222.0467900118245,217.5482715448286,295.89808026709335,289.52990888224247,263.1791542046324
labeled-data/sub11_7m_spon_AVI/img0078.png,416.66630729637615,225.78609584753428,454.05936565347423,310.8553036099326,387.68668706962507,267.8532864992697,269.89855324476594,230.46022814217156,211.0044863323364,295.89808026709335,291.3995618000974,258.50502190999515
labeled-data/sub11_7m_spon_AVI/img0080.png,416.66630729637615,222.98161647075193,458.7334979481115,311.79013006886004,389.55633998748,265.9836335814148,271.76820616262086,217.37265771718722,216.6134450859011,298.7025596438757,290.46473534116996,248.22193086179317
labeled-data/sub11_7m_spon_AVI/img0082.png,419.47078667315856,223.91644292967936,458.7334979481115,311.79013006886004,387.68668706962507,264.1139806635599,272.70303262154835,221.111963552897,215.67861862697367,294.96325380816586,297.9433470125896,248.22193086179317
labeled-data/sub11_7m_spon_AVI/img0088.png,415.7314808374487,227.6557487653892,454.9941921124018,310.8553036099326,389.55633998748,268.7881129581972,278.31199137511305,222.98161647075193,215.67861862697367,292.1587744313835,293.2692147179523,249.15675732072066
labeled-data/sub11_7m_spon_AVI/img0093.png,417.6011337553036,227.6557487653892,454.9941921124018,308.05082423315025,389.55633998748,273.4622452528344,277.37716491618556,222.98161647075193,212.87413925019132,293.09360089031094,294.20404117687974,251.02641023857552
labeled-data/sub11_7m_spon_AVI/img0096.png,414.7966543785213,224.85126938860685,452.18971273561937,308.9856506920777,383.9473812339153,256.6353689921403,268.02890032691107,222.0467900118245,214.74379216804618,294.96325380816586,288.59508242331503,237.9388398135912
labeled-data/sub11_7m_spon_AVI/img0097.png,416.66630729637615,222.98161647075193,449.38523335883707,311.79013006886004,378.3384224803506,255.7005425332128,264.2895944912012,220.17713709396958,214.74379216804618,294.0284273492384,288.59508242331503,237.00401335466375
labeled-data/sub11_7m_spon_AVI/img0109.png,421.3404395910134,223.91644292967936,451.25488627669193,316.4642623634973,378.3384224803506,251.961236697503,259.61546219656395,220.17713709396958,217.5482715448286,289.35429505460115,297.9433470125896,237.9388398135912
labeled-data/sub11_7m_spon_AVI/img0112.png,415.7314808374487,223.91644292967936,450.3200598177645,317.39908882242474,382.07772831606036,245.41745148501082,260.55028865549144,217.37265771718722,216.6134450859011,288.4194685956737,294.20404117687974,231.395054601099
labeled-data/sub11_7m_spon_AVI/img0120.png,416.66630729637615,235.13436043680883,450.3200598177645,328.6170063295542,384.8822076928427,257.5701954510677,268.02890032691107,220.17713709396958,215.67861862697367,289.35429505460115,299.81299993044445,236.06918689573627
labeled-data/sub11_7m_spon_AVI/img0129.png,417.6011337553036,231.395054601099,451.25488627669193,326.7473534116993,386.75186061069763,266.91846004034227,268.9637267858385,225.78609584753428,215.67861862697367,296.8329067260208,291.3995618000974,249.15675732072066
labeled-data/sub11_7m_spon_AVI/img0131.png,418.535960214231,228.59057522431664,448.4504068999095,321.1383946581346,383.9473812339153,265.9836335814148,270.8333797036934,224.85126938860685,216.6134450859011,297.7677331849482,292.3343882590248,246.35227794393825
labeled-data/sub11_7m_spon_AVI/img0140.png,417.6011337553036,232.32988106002648,446.58075398205466,313.65978298671496,385.8170341517702,254.76571607428536,264.2895944912012,224.85126938860685,216.6134450859011,294.0284273492384,285.7906030465327,245.41745148501082
labeled-data/sub11_7m_spon_AVI/img0148.png,410.122522083884,225.78609584753428,444.7111010641998,308.05082423315025,373.6642901857133,246.35227794393825,264.2895944912012,222.0467900118245,211.0044863323364,296.8329067260208,279.2468178340405,235.13436043680883
labeled-data/sub11_7m_spon_AVI/img0151.png,410.122522083884,227.6557487653892,436.2976629338527,310.8553036099326,373.6642901857133,252.89606315643044,264.2895944912012,226.72092230646172,211.93931279126383,292.1587744313835,281.1164707518954,234.19953397788134
labeled-data/sub11_7m_spon_AVI/img0152.png,411.9921750017389,225.78609584753428,439.102142310635,313.65978298671496,370.85981080893094,256.6353689921403,263.3547680322738,225.78609584753428,211.93931279126383,290.2891215135286,282.05129721082284,235.13436043680883
labeled-data/sub11_7m_spon_AVI/img0154.png,409.1876956249566,225.78609584753428,434.4280100159978,311.79013006886004,368.0553314321486,261.30950128677756,267.0940738679836,224.85126938860685,214.74379216804618,298.7025596438757,279.2468178340405,236.06918689573627
labeled-data/sub11_7m_spon_AVI/img0163.png,409.1876956249566,222.98161647075193,440.97179522848995,309.9204771510051,368.990157891076,265.9836335814148,264.2895944912012,222.0467900118245,212.87413925019132,302.4418654795855,275.5075119983307,245.41745148501082
labeled-data/sub11_7m_spon_AVI/img0181.png,410.122522083884,224.85126938860685,448.4504068999095,308.05082423315025,378.3384224803506,268.7881129581972,269.89855324476594,224.85126938860685,216.6134450859011,303.376691938513,283.92095012867776,240.74331919037354
labeled-data/sub11_7m_spon_AVI/img0189.png,410.122522083884,224.85126938860685,440.0369687695625,305.24634485636784,371.7946372678584,275.3318981706893,273.6378590804758,223.91644292967936,223.1572302983933,302.4418654795855,287.6602559643876,251.02641023857552
labeled-data/sub11_7m_spon_AVI/img0196.png,417.6011337553036,225.78609584753428,457.7986714891841,311.79013006886004,377.4035960214231,275.3318981706893,281.1164707518954,223.91644292967936,223.1572302983933,298.7025596438757,298.878173471517,251.02641023857552
labeled-data/sub11_7m_spon_AVI/img0212.png,417.6011337553036,227.6557487653892,443.77627460527225,309.9204771510051,381.1429018571329,265.04880712248735,277.37716491618556,224.85126938860685,223.1572302983933,295.89808026709335,294.20404117687974,241.67814564930103
labeled-data/sub11_7m_spon_AVI/img0219.png,426.0145718856507,230.46022814217156,440.97179522848995,309.9204771510051,384.8822076928427,308.9856506920777,279.2468178340405,224.85126938860685,233.44032134659528,313.65978298671496,272.70303262154835,287.48464213674623
labeled-data/sub11_7m_spon_AVI/img0220.png,426.0145718856507,232.32988106002648,431.6235306392154,315.5294359045699,389.55633998748,313.65978298671496,282.9861236697503,227.6557487653892,231.57066842874036,308.9856506920777,270.8333797036934,293.09360089031094
labeled-data/sub11_7m_spon_AVI/img0228.png,431.6235306392154,242.61297210822846,475.56037420880574,335.16079154204635,429.75387772136054,318.33391528135223,283.92095012867776,227.6557487653892,230.63584196981293,310.8553036099326,288.59508242331503,314.5946094456424
labeled-data/sub11_7m_spon_AVI/img0231.png,448.4504068999095,247.28710440286574,474.6255477498783,344.5090561313209,464.3424567016763,294.0284273492384,289.52990888224247,235.13436043680883,243.72341239479726,299.63738610280313,258.6806357376365,341.7045767545386
labeled-data/sub11_7m_spon_AVI/img0233.png,435.36283647492525,241.67814564930103,472.75589483202333,346.3787090491758,464.3424567016763,278.1363775474717,283.92095012867776,234.19953397788134,235.3099742644502,296.8329067260208,239.04928010016,344.5090561313209
labeled-data/sub11_7m_spon_AVI/img0239.png,438.16731585170754,241.67814564930103,469.0165889963135,328.6170063295542,467.1469360784586,245.41745148501082,294.20404117687974,232.32988106002648,247.4627182305071,318.33391528135223,209.13483341448148,373.488676358072
labeled-data/sub11_7m_spon_AVI/img0244.png,444.7111010641998,232.32988106002648,474.6255477498783,322.073221117062,489.58277109271756,237.00401335466375,297.9433470125896,234.19953397788134,254.00650344299925,315.5294359045699,194.17761007164222,341.7045767545386
labeled-data/sub11_7m_spon_AVI/img0246.png,444.7111010641998,225.78609584753428,472.75589483202333,316.4642623634973,491.45242401057243,234.19953397788134,296.07369409473466,237.9388398135912,249.33237114836197,316.4642623634973,192.3079571537873,297.7677331849482
labeled-data/sub11_7m_spon_AVI/img0248.png,434.4280100159978,221.111963552897,471.8210683730959,306.18117131529533,482.1041594212979,221.111963552897,285.7906030465327,244.48262502608338,240.9189330180149,315.5294359045699,178.28556026987553,314.5946094456424
labeled-data/sub11_7m_spon_AVI/img0252.png,419.47078667315856,206.15474021005775,462.47280378382135,287.48464213674623,469.0165889963135,204.28508729220283,277.37716491618556,249.15675732072066,231.57066842874036,305.24634485636784,181.09003964665789,326.7473534116993
labeled-data/sub11_7m_spon_AVI/img0254.png,413.86182791959374,204.28508729220283,458.7334979481115,271.59259233497954,469.0165889963135,195.87164916185577,272.70303262154835,245.41745148501082,227.83136259303058,295.89808026709335,181.09003964665789,336.09561800097384
labeled-data/sub11_7m_spon_AVI/img0256.png,397.9697781178271,204.28508729220283,462.47280378382135,257.5701954510677,497.06138276413714,189.32786394936358,262.4199415733463,254.76571607428536,226.8965361341031,298.7025596438757,184.82934548236773,336.09561800097384
labeled-data/sub11_7m_spon_AVI/img0257.png,389.55633998748,203.3502608332754,460.6031508659665,251.961236697503,506.4096473534117,190.26269040829106,256.8109828197816,251.961236697503,225.02688321624822,305.24634485636784,178.28556026987553,332.35631216526406
labeled-data/sub11_7m_spon_AVI/img0263.png,384.8822076928427,201.48060791542048,466.2121096195312,236.06918689573627,517.627564860541,192.13234332614593,258.6806357376365,246.35227794393825,228.766189051958,306.18117131529533,202.59104820198934,317.39908882242474
labeled-data/sub11_7m_spon_AVI/img0264.png,383.9473812339153,207.08956666898519,465.27728316060376,245.41745148501082,517.627564860541,196.8064756207832,250.26719760728946,247.28710440286574,232.50549488766785,307.11599777422276,211.93931279126383,326.7473534116993
labeled-data/sub11_7m_spon_AVI/img0267.png,397.9697781178271,223.91644292967936,460.6031508659665,279.07120400639917,516.6927384016136,294.0284273492384,256.8109828197816,242.61297210822846,235.3099742644502,310.8553036099326,242.78858593586983,342.63940321346604
labeled-data/sub11_7m_spon_AVI/img0268.png,403.57873687139175,228.59057522431664,454.05936565347423,300.5722125617306,488.64794463379,361.33593239201514,261.4851151144189,237.9388398135912,233.44032134659528,309.9204771510051,252.13685052514433,350.1180148848856
labeled-data/sub11_7m_spon_AVI/img0270.png,413.86182791959374,232.32988106002648,454.9941921124018,316.4642623634973,478.36485358558804,385.6414203241289,268.02890032691107,233.2647075189539,238.11445364123256,313.65978298671496,258.6806357376365,363.20558530987
labeled-data/sub11_7m_spon_AVI/img0273.png,417.6011337553036,242.61297210822846,449.38523335883707,330.4866592474091,469.0165889963135,392.1852055366211,274.5726855394032,224.85126938860685,239.04928010016,307.11599777422276,247.4627182305071,370.68419698128963
