scorer,AVI_sub5_8m_spon,AVI_sub5_8m_spon,AVI_sub5_8m_spon,AVI_sub5_8m_spon,AVI_sub5_8m_spon,AVI_sub5_8m_spon,AVI_sub5_8m_spon,AVI_sub5_8m_spon,AVI_sub5_8m_spon,AVI_sub5_8m_spon,AVI_sub5_8m_spon,AVI_sub5_8m_spon
bodyparts,leftshoulder,leftshoulder,leftelbow,leftelbow,leftwrist,leftwrist,rightshoulder,rightshoulder,rightelbow,rightelbow,rightwrist,rightwrist
coords,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/AVI_sub5_8m_spon/img0001.png,370.85981080893094,205.21991375113032,400.77425749460946,292.1587744313835,362.4463726785838,264.1139806635599,249.33237114836197,223.91644292967936,241.85375947694234,308.9856506920777,272.70303262154835,269.7229394171246
labeled-data/AVI_sub5_8m_spon/img0015.png,372.7294637267858,208.02439312791267,407.3180427071016,298.7025596438757,354.9677610071642,261.30950128677756,244.6582388537247,222.98161647075193,238.11445364123256,313.65978298671496,282.9861236697503,262.244327745705
labeled-data/AVI_sub5_8m_spon/img0025.png,374.59911664464073,203.3502608332754,405.44838978924673,290.2891215135286,353.09810808930933,265.04880712248735,249.33237114836197,221.111963552897,235.3099742644502,309.9204771510051,276.44233845725813,262.244327745705
labeled-data/AVI_sub5_8m_spon/img0052.png,378.3384224803506,208.02439312791267,407.3180427071016,295.89808026709335,368.0553314321486,256.6353689921403,250.26719760728946,216.43783125825973,231.57066842874036,306.18117131529533,286.7254295054601,257.5701954510677
labeled-data/AVI_sub5_8m_spon/img0061.png,378.3384224803506,208.02439312791267,411.9921750017389,295.89808026709335,369.92498435000346,252.89606315643044,252.13685052514433,222.0467900118245,229.70101551088544,305.24634485636784,283.92095012867776,260.3746748278501
labeled-data/AVI_sub5_8m_spon/img0074.png,380.20807539820544,209.8940460457676,408.25286916602903,297.7677331849482,368.990157891076,257.5701954510677,252.13685052514433,219.2423106350421,232.50549488766785,308.9856506920777,281.1164707518954,263.1791542046324
labeled-data/AVI_sub5_8m_spon/img0080.png,383.01255477498785,208.02439312791267,407.3180427071016,296.8329067260208,368.990157891076,256.6353689921403,248.39754468943454,221.111963552897,235.3099742644502,311.79013006886004,286.7254295054601,263.1791542046324
labeled-data/AVI_sub5_8m_spon/img0096.png,377.4035960214231,212.69852542254995,407.3180427071016,299.63738610280313,375.5339431035682,257.5701954510677,251.2020240662169,220.17713709396958,233.44032134659528,308.05082423315025,285.7906030465327,265.9836335814148
labeled-data/AVI_sub5_8m_spon/img0110.png,381.1429018571329,214.5681783404048,407.3180427071016,301.50703902065806,378.3384224803506,257.5701954510677,251.2020240662169,226.72092230646172,237.17962718230507,312.72495652778747,290.46473534116996,273.4622452528344
labeled-data/AVI_sub5_8m_spon/img0119.png,381.1429018571329,212.69852542254995,411.05734854281144,296.8329067260208,376.46876956249565,252.89606315643044,250.26719760728946,222.98161647075193,233.44032134659528,312.72495652778747,291.3995618000974,266.91846004034227
labeled-data/AVI_sub5_8m_spon/img0167.png,379.273248939278,211.76369896362246,411.9921750017389,294.96325380816586,373.6642901857133,260.3746748278501,250.26719760728946,221.111963552897,234.37514780552272,312.72495652778747,289.52990888224247,265.04880712248735
labeled-data/AVI_sub5_8m_spon/img0178.png,388.62151352855255,211.76369896362246,414.7966543785213,295.89808026709335,373.6642901857133,262.244327745705,249.33237114836197,221.111963552897,239.98410655908748,309.9204771510051,287.6602559643876,265.9836335814148
labeled-data/AVI_sub5_8m_spon/img0194.png,384.8822076928427,208.02439312791267,411.05734854281144,296.8329067260208,374.59911664464073,262.244327745705,253.07167698407181,222.98161647075193,235.3099742644502,308.9856506920777,289.52990888224247,265.04880712248735
labeled-data/AVI_sub5_8m_spon/img0202.png,385.8170341517702,210.82887250469503,408.25286916602903,295.89808026709335,369.92498435000346,262.244327745705,248.39754468943454,222.0467900118245,231.57066842874036,313.65978298671496,281.1164707518954,267.8532864992697
labeled-data/AVI_sub5_8m_spon/img0203.png,379.273248939278,209.8940460457676,409.1876956249566,297.7677331849482,367.1205049732211,265.9836335814148,250.26719760728946,223.91644292967936,233.44032134659528,314.5946094456424,275.5075119983307,270.65776587605205
labeled-data/AVI_sub5_8m_spon/img0206.png,377.4035960214231,205.21991375113032,409.1876956249566,296.8329067260208,364.31602559643875,265.04880712248735,242.78858593586983,221.111963552897,233.44032134659528,314.5946094456424,272.70303262154835,272.527418793907
labeled-data/AVI_sub5_8m_spon/img0209.png,374.59911664464073,208.02439312791267,406.38321624817416,294.96325380816586,356.8374139250191,265.04880712248735,242.78858593586983,229.52540168324413,229.70101551088544,314.5946094456424,269.89855324476594,273.4622452528344
labeled-data/AVI_sub5_8m_spon/img0215.png,365.25085205536624,209.8940460457676,384.8822076928427,305.24634485636784,323.1836614036308,263.1791542046324,239.98410655908748,226.72092230646172,227.83136259303058,322.073221117062,235.3099742644502,265.04880712248735
labeled-data/AVI_sub5_8m_spon/img0218.png,359.6418933018015,218.30748417611466,365.25085205536624,322.073221117062,295.13886763580723,262.244327745705,238.11445364123256,222.0467900118245,230.63584196981293,314.5946094456424,228.766189051958,263.1791542046324
labeled-data/AVI_sub5_8m_spon/img0226.png,361.5115462196564,225.78609584753428,341.88019058217986,323.0080475759895,278.31199137511305,249.15675732072066,241.85375947694234,244.48262502608338,224.09205675732073,319.26874174027967,218.48309800375603,246.35227794393825
labeled-data/AVI_sub5_8m_spon/img0230.png,353.09810808930933,229.52540168324413,326.9229672393406,314.5946094456424,273.6378590804758,239.8084927314461,238.11445364123256,244.48262502608338,223.1572302983933,317.39908882242474,211.93931279126383,240.74331919037354
labeled-data/AVI_sub5_8m_spon/img0239.png,358.70706684287404,221.111963552897,335.3364053696877,315.5294359045699,269.89855324476594,235.13436043680883,243.72341239479726,247.28710440286574,223.1572302983933,315.5294359045699,211.93931279126383,241.67814564930103
labeled-data/AVI_sub5_8m_spon/img0244.png,356.8374139250191,220.17713709396958,341.88019058217986,305.24634485636784,282.9861236697503,241.67814564930103,241.85375947694234,242.61297210822846,226.8965361341031,314.5946094456424,213.80896570911875,240.74331919037354
labeled-data/AVI_sub5_8m_spon/img0245.png,354.9677610071642,216.43783125825973,344.6846699589622,302.4418654795855,281.1164707518954,239.8084927314461,242.78858593586983,239.8084927314461,224.09205675732073,315.5294359045699,217.5482715448286,238.87366627251862
labeled-data/AVI_sub5_8m_spon/img0248.png,355.9025874660917,222.0467900118245,340.94536412325243,305.24634485636784,276.44233845725813,238.87366627251862,244.6582388537247,239.8084927314461,225.02688321624822,314.5946094456424,214.74379216804618,240.74331919037354
labeled-data/AVI_sub5_8m_spon/img0257.png,355.9025874660917,215.5030047993323,343.7498435000348,301.50703902065806,272.70303262154835,232.32988106002648,239.98410655908748,237.00401335466375,222.2224038394658,311.79013006886004,217.5482715448286,234.19953397788134
labeled-data/AVI_sub5_8m_spon/img0259.png,356.8374139250191,215.5030047993323,339.0757112053975,296.8329067260208,270.8333797036934,223.91644292967936,239.98410655908748,242.61297210822846,221.28757738053838,315.5294359045699,213.80896570911875,239.8084927314461
labeled-data/AVI_sub5_8m_spon/img0277.png,354.03293454823677,222.0467900118245,335.3364053696877,294.0284273492384,270.8333797036934,221.111963552897,239.04928010016,239.8084927314461,219.41792446268346,312.72495652778747,213.80896570911875,234.19953397788134
labeled-data/AVI_sub5_8m_spon/img0287.png,356.8374139250191,220.17713709396958,333.4667524518328,296.8329067260208,269.89855324476594,222.0467900118245,239.04928010016,231.395054601099,214.74379216804618,301.50703902065806,210.06965987340897,223.91644292967936
labeled-data/AVI_sub5_8m_spon/img0288.png,356.8374139250191,220.17713709396958,325.9881407804132,299.63738610280313,271.76820616262086,220.17713709396958,234.37514780552272,231.395054601099,211.0044863323364,304.3115183974404,209.13483341448148,224.85126938860685
labeled-data/AVI_sub5_8m_spon/img0294.png,357.7722403839466,222.98161647075193,330.66227307505045,303.376691938513,262.4199415733463,218.30748417611466,240.9189330180149,229.52540168324413,208.20000695555404,303.376691938513,211.0044863323364,222.98161647075193
labeled-data/AVI_sub5_8m_spon/img0296.png,357.7722403839466,216.43783125825973,322.24883494470333,299.63738610280313,269.89855324476594,224.85126938860685,233.44032134659528,231.395054601099,213.80896570911875,301.50703902065806,208.20000695555404,224.85126938860685
labeled-data/AVI_sub5_8m_spon/img0298.png,354.9677610071642,223.91644292967936,316.6398761911386,305.24634485636784,268.02890032691107,226.72092230646172,234.37514780552272,230.46022814217156,209.13483341448148,298.7025596438757,206.33035403769912,220.17713709396958
labeled-data/AVI_sub5_8m_spon/img0302.png,355.9025874660917,224.85126938860685,326.9229672393406,317.39908882242474,285.7906030465327,236.06918689573627,240.9189330180149,234.19953397788134,219.41792446268346,308.9856506920777,222.2224038394658,225.78609584753428
labeled-data/AVI_sub5_8m_spon/img0304.png,363.3811991375113,226.72092230646172,340.94536412325243,317.39908882242474,296.07369409473466,243.5477985671559,248.39754468943454,243.5477985671559,227.83136259303058,301.50703902065806,231.57066842874036,233.2647075189539
labeled-data/AVI_sub5_8m_spon/img0309.png,377.4035960214231,225.78609584753428,389.55633998748,312.72495652778747,339.0757112053975,257.5701954510677,249.33237114836197,207.08956666898519,235.3099742644502,301.50703902065806,261.4851151144189,240.74331919037354
labeled-data/AVI_sub5_8m_spon/img0322.png,388.62151352855255,219.2423106350421,405.44838978924673,309.9204771510051,347.48914933574457,261.30950128677756,254.00650344299925,214.5681783404048,238.11445364123256,304.3115183974404,274.5726855394032,253.83088961535788
labeled-data/AVI_sub5_8m_spon/img0326.png,386.75186061069763,213.63335188147738,406.38321624817416,306.18117131529533,351.2284551714544,264.1139806635599,254.00650344299925,216.43783125825973,239.98410655908748,306.18117131529533,273.6378590804758,260.3746748278501
labeled-data/AVI_sub5_8m_spon/img0328.png,387.68668706962507,214.5681783404048,411.05734854281144,299.63738610280313,352.16328163038185,267.8532864992697,254.00650344299925,221.111963552897,238.11445364123256,312.72495652778747,270.8333797036934,263.1791542046324
labeled-data/AVI_sub5_8m_spon/img0334.png,387.68668706962507,215.5030047993323,411.05734854281144,298.7025596438757,359.6418933018015,265.9836335814148,261.4851151144189,220.17713709396958,235.3099742644502,312.72495652778747,268.02890032691107,305.24634485636784
labeled-data/AVI_sub5_8m_spon/img0336.png,388.62151352855255,211.76369896362246,417.6011337553036,295.89808026709335,359.6418933018015,264.1139806635599,257.7458092787091,224.85126938860685,240.9189330180149,291.2239479724561,250.26719760728946,324.8777004938444
labeled-data/AVI_sub5_8m_spon/img0340.png,385.8170341517702,210.82887250469503,418.535960214231,287.48464213674623,354.03293454823677,254.76571607428536,260.55028865549144,216.43783125825973,239.98410655908748,286.5498156778188,255.87615636085417,316.4642623634973
labeled-data/AVI_sub5_8m_spon/img0345.png,380.20807539820544,203.3502608332754,416.66630729637615,276.2667246296168,356.8374139250191,251.02641023857552,254.94132990192668,215.5030047993323,232.50549488766785,294.96325380816586,212.87413925019132,364.14041176879743
labeled-data/AVI_sub5_8m_spon/img0349.png,375.5339431035682,205.21991375113032,413.86182791959374,281.8756833831815,372.7294637267858,249.15675732072066,254.00650344299925,225.78609584753428,218.48309800375603,294.96325380816586,179.22038672880296,360.40110593308765
labeled-data/AVI_sub5_8m_spon/img0353.png,374.59911664464073,200.54578145649305,424.14491896779583,277.20155108854425,389.55633998748,231.395054601099,244.6582388537247,234.19953397788134,204.4607011198442,293.09360089031094,149.30594004312445,361.33593239201514
labeled-data/AVI_sub5_8m_spon/img0358.png,370.85981080893094,201.48060791542048,431.6235306392154,265.04880712248735,426.0145718856507,231.395054601099,255.87615636085417,228.59057522431664,195.1124365305697,294.0284273492384,128.7397579467205,349.1831884259582
labeled-data/AVI_sub5_8m_spon/img0366.png,398.90460457675454,214.5681783404048,445.6459275231272,262.244327745705,521.3668706962509,308.05082423315025,268.02890032691107,230.46022814217156,196.04726298949714,273.4622452528344,119.39149335744595,307.11599777422276
